OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,OM_rec_R1_1990,OM_rec_R1_1991,OM_rec_R1_1992,OM_rec_R1_1993,OM_rec_R1_1994,OM_rec_R1_1995,OM_rec_R1_1996,OM_rec_R1_1997,OM_rec_R1_1998,OM_rec_R1_1999,OM_rec_R1_2000,OM_rec_R1_2001,OM_rec_R1_2002,OM_rec_R1_2003,OM_rec_R1_2004,OM_rec_R1_2005,OM_rec_R1_2006,OM_rec_R1_2007,OM_rec_R1_2008,OM_rec_R1_2009,OM_rec_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010,AM_rec_1990,AM_rec_1991,AM_rec_1992,AM_rec_1993,AM_rec_1994,AM_rec_1995,AM_rec_1996,AM_rec_1997,AM_rec_1998,AM_rec_1999,AM_rec_2000,AM_rec_2001,AM_rec_2002,AM_rec_2003,AM_rec_2004,AM_rec_2005,AM_rec_2006,AM_rec_2007,AM_rec_2008,AM_rec_2009,AM_rec_2010,SelLL_P1,SelLL_P2,SelLL_P3,Starting_AM_B0
14328.2677026201,16469.9753617622,16042.5602731489,15342.7672710923,14633.6989843605,13934.0785199545,13245.3499671041,12575.3568623192,11910.2800680724,11257.7110582345,10627.6451408625,10011.2133261126,9407.46219482841,8824.86800831773,8272.4688517047,7740.66652808831,7235.81867213291,6755.83826326145,6310.82213271898,5903.38124651802,5529.50485815615,5199.67975450343,1220152,1094153.95394066,1169660.72113303,602068.066851066,994494.654554778,1009392.39431689,1056874.69368221,767921.741069738,752196.426619723,849972.242079309,1016623.36671216,985027.429297391,1290578.2407505,1347186.76935009,790464.739762549,920219.176428553,994611.991609872,940578.191266156,1085990.34648031,611816.600549954,1497174.16706112,13893.8,13893.8,13407,12891.3,12353,11799.1,11236.7,10672.7,10112.8,9562.21,9024.87,8503.81,8001.15,7518.29,7056.05,6614.75,6193.64,5793.1,5412.67,5051.71,4709.4,4385.39,1050050,1050050,1046890,1043290,1039250,1034740,1029760,1024290,1018330,1011860,1004880,997372,989335,980747,971592,961849,951477,940463,928778,916389,903257,0,0,0,0
14328.2677026201,13630.6143609862,13364.3693141208,12813.6893802805,12253.3823938615,11696.5853243009,11150.7587150897,10625.9975790433,10115.62964114,9613.71387173238,9136.33136444524,8666.59286309329,8209.04241072248,7759.77629056914,7339.49260309291,6940.44215395251,6565.88684630291,6200.5935092059,5851.38741122048,5508.46403027907,5186.18668153557,4885.03547083615,1232178,1170360.86318048,1173313.52492369,542330.586449083,877461.196993583,867532.463915749,1690455.35728813,1228172.63662636,557816.612270722,1072829.6902614,655912.462842419,1294055.73797269,853342.504023204,1276205.33673463,616050.815362491,996128.505434961,703689.760533083,1034454.60249675,694374.073141934,951077.685708922,1211852.93895506,14550.6,14550.6,14063.9,13548.2,13009.9,12455.9,11893.2,11328.5,10767.6,10215.7,9676.82,9153.97,8649.41,8164.62,7700.49,7257.44,6834.86,6433.03,6051.61,5689.93,5347.32,5023.44,1099700,1099700,1096530,1092960,1088950,1084500,1079590,1074230,1068420,1062140,1055400,1048200,1040540,1032400,1023800,1014720,1005140,995060,984477,973379,961756,0,0,0,0
14328.2677026201,15813.36614956,15541.7159590837,14950.6038463856,14348.2178069532,13726.7137643031,13108.6278706279,12515.3008891798,11959.9100754227,11441.3682885736,10968.848045343,10529.1506717121,10127.5210045435,9742.98544298114,9368.49098787416,9027.03374987758,8690.29234060091,8366.20603683211,8044.22069443151,7728.2931514912,7408.82570170151,7097.93925739622,1367917,1367945.46600723,1518766.89242739,2083219.30863661,1421798.64157389,771170.610206351,994791.106964746,1550458.13118133,1137204.23093997,1263205.81783641,812701.15190473,1008655.15336284,723684.874404094,850047.136906743,2169889.09524376,919919.168356307,1056132.50957504,1022303.02872127,875966.056981833,870127.616928948,895939.880867949,16851,16851,16364.3,15848.8,15310.6,14756.2,14192.5,13626,13062.4,12506.9,11963.7,11436,10926.4,10436.6,9967.75,9520.47,9094.28,8689.77,8306.62,7944.31,7602.24,7280.4,1273560,1273560,1270410,1266880,1262970,1258670,1253980,1248920,1243500,1237730,1231630,1225210,1218500,1211510,1204260,1196770,1189040,1181120,1173010,1164740,1156320,0,0,0,0
14328.2677026201,15128.3074366133,15003.120228908,14583.3699597053,14152.7858499775,13693.9953871861,13229.7862248109,12762.6329119672,12285.6024641721,11805.0929483298,11331.4352929383,10861.3095195899,10393.2787057366,9936.18649571242,9463.30523936722,8983.50731926459,8503.12889657538,8033.86199005997,7569.16104514579,7136.64194603468,6739.83786493579,6378.28534989869,1016993,1530162.13426739,953430.078348641,1543980.42383349,1209409.52009629,962781.678259742,832407.971693194,693544.567941409,531649.477199766,939747.503375303,886636.483114962,882820.949066115,1726146.22451314,843299.69451992,1107972.79586499,1298661.15268903,1595041.68064367,486913.325133676,949097.930613524,1105143.03348953,631142.088381349,15015.8,15015.8,14529.1,14013.4,13475.2,12921.1,12358.2,11793,11231.5,10678.8,10138.9,9614.88,9109.12,8623.12,8157.83,7713.72,7290.01,6887.31,6505.22,6143.22,5800.52,5476.95,1134850,1134850,1131690,1128130,1124140,1119730,1114870,1109590,1103860,1097700,1091120,1084110,1076670,1068820,1060560,1051880,1042760,1033230,1023290,1012940,1002170,0,0,0,0
14328.2677026201,15109.7999539975,14802.1120071345,14178.5203201889,13507.6100493009,12810.0121286157,12116.2372107802,11428.487824395,10753.1375045272,10115.1083239113,9521.51288425004,8967.49104332033,8439.21098593381,7932.58777039913,7448.06493880254,6989.60027665057,6540.79254579175,6116.9157876743,5721.45621758305,5358.24855186397,5020.26479834378,4711.11573254017,1178834,1261645.46646914,1753468.34649779,938371.354253787,683011.014779766,1100886.47493802,999924.836389524,635536.996759946,931066.690788787,1186719.93656658,1019681.79229193,833815.396068065,1029874.54450863,1391331.26560318,1128637.67919671,778403.582201461,715638.212790482,639349.415228494,924070.817168269,967229.944154609,1020876.0069758,13901.6,13901.6,13414.9,12899.2,12360.8,11806.9,11244.6,10680.5,10120.6,9570.03,9032.68,8511.59,8008.91,7526.03,7063.76,6622.44,6201.36,5800.88,5420.49,5059.53,4717.22,4393.2,1050650,1050650,1047480,1043890,1039850,1035340,1030360,1024890,1018930,1012460,1005480,997982,989949,981368,972220,962486,952126,941126,929458,917088,903977,0,0,0,0
14328.2677026201,14080.9177293127,13928.1638093658,13466.1177991298,12971.8829765949,12458.1661593753,11916.7860082638,11351.2882674954,10767.1037228732,10187.2039002318,9613.45956892396,9063.59594675443,8542.44324460395,8078.80776417577,7660.40527399571,7267.86066686236,6899.78931747791,6557.52854049685,6235.06538722637,5925.65984703997,5634.57062406991,5364.02403393048,648538,1101879.53561334,457529.365771233,762655.225972203,1843706.38230457,1402696.02332076,1033850.11382541,1052762.47530095,1218707.80988076,981221.110483455,1112928.43029159,854124.106305864,1514262.5867658,1330741.47772576,698915.132172214,581535.428644895,708872.996764138,825425.433339661,1072385.09124122,1212160.16216724,1325569.59001171,15110.3,15110.3,14623.6,14108,13569.7,13015.6,12452.6,11887.4,11325.8,10772.9,10232.8,9708.58,9202.59,8716.36,8250.85,7806.54,7382.91,6980.27,6598.25,6236.3,5893.66,5570.14,1142000,1142000,1138840,1135280,1131300,1126890,1122040,1116770,1111060,1104930,1098370,1091400,1084010,1076210,1068010,1059400,1050380,1040960,1031150,1020940,1010330,0,0,0,0
14328.2677026201,16559.4512957072,16420.0491529609,15973.1727260909,15481.2271861248,14966.7580338606,14414.3698198278,13850.9085026619,13272.4764957465,12690.6525147978,12105.4229574184,11519.3673747216,10937.9554138781,10364.0507004361,9815.33388946024,9293.10905737291,8786.33919197333,8303.15984443792,7837.40873267706,7396.81253365484,6973.97323663527,6577.19959364444,961270,1146939.89769951,850571.122077372,571510.738255764,1453129.38292079,762736.083294847,1567812.29783705,845572.485635036,1220172.61880774,792971.623118351,931661.901604426,871649.51802161,909971.583715063,1480084.79985652,1182308.50026992,695836.061016862,1128810.44526577,1061635.165829,1077467.56283407,609516.079264813,680229.076969894,15447,15447,14960.3,14444.7,13906.4,13352.3,12789.2,12223.6,11661.6,11108.1,10567.4,10042.4,9535.63,9048.62,8582.36,8137.37,7713.03,7309.87,6927.5,6565.35,6222.68,5899.44,1167450,1167450,1164290,1160730,1156770,1152380,1147570,1142340,1136700,1130640,1124190,1117330,1110100,1102480,1094490,1086140,1077420,1068340,1058920,1049170,1039090,0,0,0,0
14328.2677026201,15472.5380485054,15271.9023663743,14773.847592869,14257.2111899889,13740.1392067714,13205.631353237,12681.8754090575,12161.3775053728,11639.1296900645,11125.8283956655,10631.0671224546,10138.3506551897,9650.57368538181,9163.84692459492,8713.17084324403,8265.29618450606,7827.43256191307,7396.19933316422,6976.21354914534,6568.17948557586,6179.23619271208,723789,1636543.73486375,1065118.46421035,940254.174956314,1410946.68857512,650537.401673761,1397519.54196237,1302839.84755261,727816.442487409,610191.680127057,1398408.17509011,564895.861685633,701742.952845887,596861.188422961,2088720.67636328,1153063.72581095,1077193.55231386,842276.930450083,763907.165635079,623903.439354925,764446.602486009,15201,15201,14714.3,14198.7,13660.4,13106.3,12543.3,11978,11416.2,10863.2,10322.9,9798.48,9292.27,8805.83,8340.11,7895.61,7471.69,7068.81,6686.58,6324.49,5981.78,5658.34,1148850,1148850,1145690,1142130,1138160,1133750,1128920,1123660,1117970,1111850,1105330,1098390,1091040,1083290,1075150,1066610,1057670,1048350,1038640,1028550,1018090,0,0,0,0
14328.2677026201,13721.8727595637,13526.0477289388,13042.8895580187,12526.0288694301,11992.8741738005,11436.6699763644,10876.939405852,10305.1898140458,9729.90523687518,9145.82614339016,8565.07227904418,7994.59878695503,7436.33019889531,6893.18689237516,6375.01325521034,5876.06953719118,5393.08754027123,4930.80537515382,4488.23723526557,4065.0752226251,3680.74135539467,894714,669241.357726757,676793.605103935,843524.090545924,1032594.88913996,500102.99308223,1324777.78607584,693817.160704691,897828.297062307,637278.176381965,664512.023573604,865034.971518971,831422.732084938,805535.409779847,835351.271857909,666379.39567551,562518.246746483,1000558.33818086,1072969.63443054,452606.489858021,1376594.61690171,12543.4,12543.4,12056.7,11540.8,11002.4,10448.8,9887.32,9324.85,8767.44,8220.08,7686.71,7170.18,6672.44,6194.68,5737.56,5301.23,4884.91,4488.72,4112.13,3754.39,3414.69,3092.6,947997,947997,944818,941183,937060,932421,927240,921492,915152,908192,900579,892276,883235,873403,862718,851104,838454,824678,809657,793248,775280,0,0,0,0
14328.2677026201,15016.4948885091,14893.757686082,14521.0692304523,14135.8009526094,13746.4644256178,13347.5575763927,12930.9362512435,12494.4652377479,12047.4717055489,11572.4923488378,11088.7699294944,10595.620240973,10096.3208807046,9595.5362048489,9096.51395962781,8611.0860658979,8134.94559656643,7670.1880315996,7223.63468819091,6791.72557077984,6380.61767273035,879591,968944.246326952,1429174.89163002,551494.395452352,835316.412279271,1254321.16415272,1255928.88627976,770243.752548543,1115438.55332594,712088.838717694,918705.43799869,1018252.41558758,1230495.15852269,1353714.49619014,616402.46513025,627523.408962339,743898.221192246,600449.581396994,726964.798607372,397760.805354276,1018567.94747042,15309.6,15309.6,14822.9,14307.3,13769,13214.9,12651.8,12086.4,11524.5,10971.3,10430.8,9906.14,9399.67,8912.97,8447.01,8002.29,7578.13,7175.11,6792.8,6430.66,6087.99,5764.64,1157060,1157060,1153900,1150340,1146370,1141970,1137150,1131900,1126230,1120150,1113650,1106750,1099450,1091760,1083690,1075240,1066390,1057180,1047600,1037670,1027380,0,0,0,0
