OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010
14328.2677026201,13113.7654654845,12866.4778708473,12588.5831678008,12274.0492967864,11920.972811063,11534.303261003,11123.564143105,10694.6190247429,10256.9182614522,9819.6785764918,9406.48750881604,9021.6550507452,8664.33417865084,8329.94915231977,8008.97043498497,7683.7754291306,7354.11329107817,7013.17652083672,6654.22106421707,6282.62195233353,5915.86457617377,16701.2,16701.2,16214.4,15698.9,15160.7,14606.4,14042.7,13476.3,12912.8,12357.5,11814.5,11287.2,10777.8,10288.3,9819.67,9372.6,8946.59,8542.19,8159,7796.58,7454.32,7132.3
14328.2677026201,14052.7405739491,13517.7312759932,12979.3411775469,12432.1928863275,11881.7648928557,11343.5631044194,10803.9021012388,10279.3437594097,9760.09042594479,9246.85006127638,8751.48450109453,8266.63645374776,7797.42670486527,7349.41928696937,6921.9575712856,6514.7177110848,6121.7846973659,5733.99925597617,5348.50330410404,4976.31420007419,4627.63267032742,14795.4,14795.4,14308.6,13793,13254.7,12700.6,12137.8,11572.9,11011.7,10459.3,9919.87,9396.42,8891.22,8405.78,7941.02,7497.39,7074.27,6672.03,6290.26,5928.34,5585.6,5261.86
14328.2677026201,14824.0823041229,14272.2195208928,13700.8406837613,13111.8009106581,12509.7090698259,11897.0992764571,11284.1426799636,10668.2302113741,10059.1627387205,9462.54621321265,8881.68616721496,8314.59711165149,7782.86142014352,7286.44723003311,6811.18862917045,6353.01683594376,5909.93879349687,5487.67863467676,5080.08104299652,4692.02779723612,4328.53183721309,14050.1,14050.1,13563.4,13047.7,12509.4,11955.5,11393,10828.8,10268.7,9717.77,9180.04,8658.53,8155.39,7672.05,7209.33,6767.58,6346.13,5945.29,5564.59,5203.37,4860.9,4536.88
14328.2677026201,12691.6090024093,12244.4285389998,11807.4530495244,11360.8442361884,10921.2460268312,10489.580308182,10074.0643972215,9670.80453859488,9285.60423020983,8921.99642048186,8568.42187692936,8234.72811924085,7909.44543824705,7595.36800060578,7288.30762027198,6980.16012414328,6670.33501521632,6351.39028019753,6030.6616352434,5711.33892787306,5397.65996188279,16155.4,16155.4,15668.7,15153.1,14614.9,14060.6,13497.2,12931.1,12368.3,11813.7,11271.6,10745.3,10237,9748.46,9280.79,8834.56,8409.17,8005.19,7622.31,7259.98,6917.57,6595
14328.2677026201,13085.486796361,12759.0889461236,12367.0254824834,11935.7315190324,11468.9805735461,10983.8375412109,10478.7248744784,9973.1597074977,9475.8738633118,8991.78344170116,8538.64356498637,8106.88831757159,7700.32913983659,7311.83510748911,6935.73173059191,6573.66715001683,6225.64936371212,5893.01621297725,5583.24459029514,5300.20470536388,5044.9731087572,15049.3,15049.3,14562.6,14047,13508.7,12954.6,12391.7,11826.5,11264.9,10712.1,10172.2,9648.1,9142.25,8656.17,8190.81,7746.62,7323.02,6920.38,6538.36,6176.37,5833.69,5510.12
14328.2677026201,11380.3922989842,11035.3571196782,10665.4556891678,10277.9001550072,9874.7967277588,9467.55444841516,9049.14797438932,8623.63459412367,8204.66178776123,7803.86611568284,7414.22181484857,7031.70131986953,6659.58710270833,6305.91052962672,5966.89115042144,5657.1893491061,5380.20794688283,5122.51462812556,4877.25251851974,4632.38688753927,4390.75336821831,15221,15221,14734.3,14218.6,13680.4,13126.2,12563.2,11997.9,11436.1,10883.1,10342.7,9818.27,9312.01,8825.52,8359.76,7915.22,7491.34,7088.58,6706.47,6344.46,6001.82,5678.38
14328.2677026201,14581.4906749276,14199.51656831,13787.4148655198,13335.6429401669,12865.4112139424,12359.3878385607,11841.0276720983,11326.5306476645,10828.0486452317,10353.6274381376,9897.3060478878,9449.74305112302,9009.27385489238,8571.73306882873,8133.66124239028,7711.41430811832,7299.66509711176,6895.80243389219,6507.98688661956,6135.53634186939,5785.75450351007,15816.3,15816.3,15329.6,14814,14275.7,13721.5,13158.2,12592.4,12030,11475.9,10934.4,10408.7,9901.12,9413.3,8946.28,8500.61,8075.71,7672.06,7289.38,6927.13,6584.6,6261.7
14328.2677026201,12682.2638233443,12290.3439043388,11878.5789065808,11447.3546205845,11009.4437223575,10560.5832402417,10107.9295305708,9668.82850458148,9249.72395689053,8850.71138115522,8457.81592974125,8077.27757529781,7712.13614115187,7375.18598794454,7062.8329790877,6774.23043443075,6513.22178335864,6268.61302326578,6035.05439939881,5798.71856312437,5565.86237089283,16882.6,16882.6,16395.9,15880.4,15342.2,14787.8,14224.1,13657.5,13093.9,12538.4,11995.1,11467.4,10957.7,10467.9,9998.97,9551.64,9125.49,8721,8337.9,7975.69,7633.73,7311.92
14328.2677026201,12297.7986635664,11956.7374203604,11581.0581194563,11181.5260399239,10748.6982910148,10293.4059256657,9828.59610539141,9364.62677341871,8898.07458300477,8437.06563730626,7983.55625209235,7549.04948545805,7126.14517085523,6709.28044629743,6306.77947333951,5926.16282545375,5563.74841256573,5231.73957906227,4939.11564397704,4677.00199777297,4435.69459316544,14276.2,14276.2,13789.4,13273.7,12735.4,12181.5,11618.9,11054.4,10494,9942.63,9404.35,8882.22,8378.42,7894.41,7431.03,6988.67,6566.63,6165.33,5784.29,5422.88,5080.37,4756.4
14328.2677026201,12637.654711866,12203.8520252663,11736.2007845077,11234.0090003833,10705.9873200878,10149.8747344537,9568.81060168062,8967.94678433341,8363.07239359494,7773.69707021911,7205.47659585402,6666.11993921472,6160.83959642256,5681.58142964134,5233.82419730118,4803.68357757999,4391.04557239815,3999.79411642179,3630.47496818598,3285.23662334506,2966.69516969032,12470.5,12470.5,11983.7,11467.8,10929.4,10375.8,9814.43,9252.06,8694.79,8147.64,7614.52,7098.27,6600.84,6123.42,5666.63,5230.65,4814.65,4418.82,4042.58,3685.2,3345.77,3023.94
