OM_ssb0,OM_ssb_R1_1959,OM_ssb_R1_1960,OM_ssb_R1_1961,OM_ssb_R1_1962,OM_ssb_R1_1963,OM_ssb_R1_1964,OM_ssb_R1_1965,OM_ssb_R1_1966,OM_ssb_R1_1967,OM_ssb_R1_1968,OM_ssb_R1_1969,OM_ssb_R1_1970,OM_ssb_R1_1971,OM_ssb_R1_1972,OM_ssb_R1_1973,OM_ssb_R1_1974,OM_ssb_R1_1975,OM_ssb_R1_1976,OM_ssb_R1_1977,OM_ssb_R1_1978,OM_ssb_R1_1979,OM_ssb_R1_1980,OM_ssb_R1_1981,OM_ssb_R1_1982,OM_ssb_R1_1983,OM_ssb_R1_1984,OM_ssb_R1_1985,OM_ssb_R1_1986,OM_ssb_R1_1987,OM_ssb_R1_1988,OM_ssb_R1_1989,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,OM_ssb_R1_2011,OM_ssb_R1_2012,OM_ssb_R1_2013,OM_ssb_R1_2014,OM_ssb_R1_2015,OM_ssb_R1_2016,OM_ssb_R1_2017,OM_ssb_R1_2018,OM_rec_R1_1959,OM_rec_R1_1960,OM_rec_R1_1961,OM_rec_R1_1962,OM_rec_R1_1963,OM_rec_R1_1964,OM_rec_R1_1965,OM_rec_R1_1966,OM_rec_R1_1967,OM_rec_R1_1968,OM_rec_R1_1969,OM_rec_R1_1970,OM_rec_R1_1971,OM_rec_R1_1972,OM_rec_R1_1973,OM_rec_R1_1974,OM_rec_R1_1975,OM_rec_R1_1976,OM_rec_R1_1977,OM_rec_R1_1978,OM_rec_R1_1979,OM_rec_R1_1980,OM_rec_R1_1981,OM_rec_R1_1982,OM_rec_R1_1983,OM_rec_R1_1984,OM_rec_R1_1985,OM_rec_R1_1986,OM_rec_R1_1987,OM_rec_R1_1988,OM_rec_R1_1989,OM_rec_R1_1990,OM_rec_R1_1991,OM_rec_R1_1992,OM_rec_R1_1993,OM_rec_R1_1994,OM_rec_R1_1995,OM_rec_R1_1996,OM_rec_R1_1997,OM_rec_R1_1998,OM_rec_R1_1999,OM_rec_R1_2000,OM_rec_R1_2001,OM_rec_R1_2002,OM_rec_R1_2003,OM_rec_R1_2004,OM_rec_R1_2005,OM_rec_R1_2006,OM_rec_R1_2007,OM_rec_R1_2008,OM_rec_R1_2009,OM_rec_R1_2010,OM_rec_R1_2011,OM_rec_R1_2012,OM_rec_R1_2013,OM_rec_R1_2014,OM_rec_R1_2015,OM_rec_R1_2016,OM_rec_R1_2017,OM_rec_R1_2018,AM_ssb0_,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010,AM_ssb_2011,AM_ssb_2012,AM_ssb_2013,AM_ssb_2014,AM_ssb_2015,AM_ssb_2016,AM_ssb_2017,AM_ssb_2018,AM_rec_1998,AM_rec_1999,AM_rec_2000,AM_rec_2001,AM_rec_2002,AM_rec_2003,AM_rec_2004,AM_rec_2005,AM_rec_2006,AM_rec_2007,AM_rec_2008,AM_rec_2009,AM_rec_2010,AM_rec_2011,AM_rec_2012,AM_rec_2013,AM_rec_2014,AM_rec_2015,AM_rec_2016,AM_rec_2017,AM_rec_2018,SelLL_P1,SelLL_P2,SelLL_P3,Starting_AM_B0
57480.1052408897,66776.8671707522,66797.0745179066,66563.6900894434,66126.3979789143,65555.7196841607,64913.543955663,64229.348334424,63499.6164953971,62713.1999048468,61874.568098729,61020.9950702634,60209.8044580498,59504.1664680253,58958.38698874,58612.7168785461,58495.0843317902,58619.561568948,58980.0609905468,59541.2910865955,60232.9469976003,60946.1102068842,61550.1292456048,61919.8067430109,61967.2543821594,61658.4179169705,61015.4435471853,60113.5251421779,59069.7842830172,58024.9784117388,57115.111418174,56449.5812773268,56095.9076576707,56078.3603611478,56382.3781000356,56963.8493230531,57761.1795940896,58705.705388549,59726.8139783327,60750.0276900024,61700.0771456962,62288.1568059035,62421.5560773704,62309.5141361753,61997.3695581029,61559.4446239761,61078.4521190205,60626.5050112215,60249.9688805543,59952.3145337425,59692.9722206741,59409.4904736712,59057.1723240096,58635.663133027,58190.5574616867,57787.2922048269,57486.3485070367,57328.3227512265,57321.544221838,57435.0945132549,57608.3334080156,972610,892166.860656628,648213.242355253,1410046.46006643,813706.116920542,826947.614438578,1626449.13016109,1551141.99797911,1277333.65842528,1246448.80249458,991099.992059468,1315113.62295949,753448.102945422,718625.573260552,597932.773854915,674533.4049483,542842.752043142,1107344.41168873,685113.380752437,868003.961594477,1372754.92122072,1013131.09270061,992569.606866524,1599730.19338014,637266.596460143,1677306.11417232,1322946.36554626,1302197.10185152,1359498.85211822,881496.243166139,1096964.01746575,1032252.90158341,835136.2192387,948654.29921192,801559.41037472,1644730.76601787,1387232.34994334,1518386.94684966,855651.173267453,837170.708831493,1064182.90726055,944170.654412803,951723.020492021,914773.867970043,1119488.83375105,1526765.56843501,1352181.00018066,1421658.55881671,663853.802927957,1485599.69887039,1069829.72761267,938291.451131728,767402.865944577,1574394.82093432,1139488.29249243,557746.270240972,1584360.84641377,1607705.94744154,1454655.86269318,619105.906745195,58277.2,58277.2,57880.6,57452.5,56997.7,56522.9,56035.9,55546,55062.4,54593.8,54147.5,53728.8,53340.8,52984.6,52659.8,52364.9,52094.4,51848.7,51625.1,51421.4,51235.4,51068.7,1035430,1035430,1034840,1034200,1033500,1032760,1031990,1031210,1030420,1029640,1028890,1028180,1027510,1026890,1026310,1025780,1025290,1024840,1024430,1024060,1023710,0,0,0,0
57480.1052408897,63022.1108709134,63667.6431723709,64105.0961683508,64374.8269424865,64557.3450756622,64722.1336236288,64892.504003699,65041.6182961411,65110.8203134247,65038.9205350194,64784.7119823512,64337.7523565409,63716.3068913108,62964.0928749879,62138.372407809,61302.0799883438,60513.8607218487,59822.8826397299,59264.5343478541,58853.0242687344,58582.9294808168,58438.106849281,58407.2736826766,58492.1805821287,58699.0529471462,59028.4557591854,59467.7458101709,59988.9608950235,60545.6671190604,61070.7964501904,61479.046177472,61692.1880759421,61667.8330198553,61418.6240829388,61009.5514892498,60536.4449710165,60102.2218775605,59794.128039592,59656.9309686024,59675.9390992488,59579.407233353,59242.1093459824,58799.7920228187,58223.9965658072,57509.5088142302,56663.9270539264,55710.7616134751,54699.1744033173,53704.1658516813,52815.861054979,52117.7991513483,51673.1405154523,51521.3214025061,51672.5363711665,52102.2984455413,52754.5999066538,53551.006050927,54407.0022817153,55241.7796727432,55982.9056052374,725462,1047870.00339932,853150.922282593,845208.818416122,748948.850968888,1053893.66840018,801914.119508523,1381134.08775197,934016.134989092,841220.025873053,780146.720648901,1249551.26664461,1076153.61175319,1069254.3395246,1009646.49241999,1033409.22856611,1498834.34235691,1645946.09745838,1085297.15625426,825794.131564931,796907.729828895,1175667.61622031,665986.383760552,768455.02947009,612202.795845375,917430.874103651,1816775.3460113,1416375.43003834,704772.355576116,742046.841506934,1220836.53049212,1387209.16920841,762987.972767272,1181895.26436371,547182.827893762,911820.732861099,774394.492111715,687529.304110743,1144807.00636094,638333.394559658,984518.180411084,1399647.54338789,1349990.91837767,1062727.51221473,1448390.4909838,1102647.13975591,1246706.23946614,1470591.67985442,1347747.5163666,1231513.61096524,1062144.66790528,885583.534190822,1014409.56500891,740009.034802757,865699.477605082,1003804.98915102,1122010.78310103,894680.387011301,927500.898783236,836388.788296612,60954.6,60954.6,60558,60129.9,59675.1,59200.2,58713.2,58223.1,57739.2,57270.4,56823.8,56404.9,56016.6,55660.2,55335.3,55040.4,54770,54524.3,54300.9,54097.3,53911.4,53744.8,1083000,1083000,1082410,1081770,1081070,1080340,1079570,1078790,1078000,1077230,1076480,1075770,1075110,1074490,1073920,1073390,1072910,1072460,1072060,1071680,1071340,0,0,0,0
57480.1052408897,54120.9834468094,53868.255732426,53763.313527987,53793.1501708905,53945.6798130497,54222.7955494195,54636.2212419377,55192.0490371357,55873.4358480836,56638.6735626212,57430.1515439984,58192.2109900278,58884.5627163988,59493.6486263518,60037.0727311388,60556.0053496469,61100.6332670774,61712.5282183626,62409.748492582,63179.3231773356,63972.261441928,64714.9898805776,65337.511980182,65811.3043706689,66162.9411925294,66462.128916105,66783.3698425964,67170.8105031029,67616.8080151111,68066.4386658995,68440.9224067481,68659.1000260562,68651.4230332893,68367.7826872611,67794.8159701321,66968.6148287301,65970.938913726,64906.8094840351,63864.8029629878,62889.3043079884,61743.3485020056,60359.1192309219,58951.0009830864,57545.4484158874,56202.8667549737,54995.8800091165,53986.3345514748,53201.7100477486,52623.6271043381,52201.0637000647,51878.2116139329,51617.3827038898,51392.1323621383,51177.6729510014,50951.4282129216,50700.1978423437,50429.2480750054,50169.1242575539,49968.5386933843,49874.031159086,918174,1031669.33748258,663830.005920912,1573454.97570298,1014115.35291776,591794.64241316,1669800.99224761,1328146.72788706,1848033.08560477,1111322.31219267,865089.555025166,1100532.58901352,912429.094818837,948793.343079442,1192110.7225888,1973315.46333576,1069391.61438573,1048446.96959114,1496467.69198033,1498510.68432448,1181218.43118556,1077219.73911931,840451.990348217,740475.296872745,455052.462333287,1075797.59592231,1155734.63055838,1260046.46864242,1213981.39719681,648179.476471532,655483.649192284,776711.22465109,582593.449615904,875114.005681572,842533.705517017,1801809.95289176,744817.293706356,933791.901600289,693403.696446358,1193880.13326781,1190743.54309368,1203367.14926901,797209.731207673,1186897.27377397,613636.163305275,769513.526470238,790146.910416856,1249528.48931924,1004575.34817996,1120324.87808825,1343500.66150623,1189823.39001528,798720.847563079,1117928.77000318,1061141.96624461,898286.973113608,611897.827867006,1309289.6043015,636759.594160332,1316949.94500332,50405.1,50405.1,50008.5,49580.3,49125.6,48651,48164.5,47675.2,47192.4,46724.8,46279.5,45861.7,45474.5,45118.9,44794.5,44499.8,44229.2,43983.3,43759.5,43555.4,43369.1,43201.8,895566,895566,894975,894327,893627,892884,892108,891313,890514,889726,888963,888234,887547,886907,886315,885771,885265,884801,884374,883982,883620,0,0,0,0
57480.1052408897,57955.4932694107,57222.4455855255,56512.4524939688,55841.60499763,55220.0391281545,54658.4089232477,54165.0523392162,53742.2875219393,53388.6237473115,53109.1954440322,52925.7079123422,52872.2748407567,52982.5445744512,53273.9286021926,53738.037961988,54345.8848979899,55057.664929728,55822.2962051988,56579.478034175,57264.2572529075,57821.0394137735,58226.5918008896,58495.7365954364,58676.7394905777,58837.6208068713,59045.4121916469,59343.4736246609,59734.6353437412,60182.8705943215,60631.8141822232,61031.2591573015,61357.4868464015,61630.2173619269,61907.3555225395,62269.0282147628,62785.4633850232,63489.377041613,64355.9316698805,65313.0818362842,66268.7394650533,66927.2871513043,67183.9079786156,67207.3106860737,66982.5002769481,66524.8157140583,65881.6824994998,65123.7565546556,64321.4780497822,63525.8359285918,62765.9518677376,62060.1380450146,61421.6561325812,60862.9205738797,60391.1736015086,59990.9850864887,59625.2240293999,59247.0355242251,58815.1027853387,58296.6801648179,57678.0148015681,1351881,819123.980177391,1178906.06175443,869054.649514392,1002508.4824197,1657274.43199008,1143999.34221215,954220.292600698,1162436.96560923,797615.616432983,1141722.2112357,642657.233182754,858353.527004897,1098093.53470679,1481824.50429212,1079282.58571255,1045580.18742986,1664164.98279431,786399.414962179,928765.110536053,910267.314695742,1134718.19736463,417337.692106292,1589481.85429003,1805137.83087225,1348722.86755002,951634.985018683,1445027.8922377,1436041.9477494,1345741.84863102,1480821.03999371,1040340.6501969,597863.636143334,1221552.48687007,1270291.71068959,953376.963090936,1443481.85817755,917915.049775234,813192.31097818,1429449.15911165,654250.004463003,1451570.96239052,1367632.37558018,953417.643411495,1138346.53243851,1428873.80297748,1033821.78533269,805745.830810173,632535.609736669,1186766.42655064,1044710.45079409,954568.823805166,791230.346222722,1198553.63527931,694273.187495521,1201902.86473876,1225377.30518592,1055119.70257389,1058965.57820152,620155.632770566,56119.8,56119.8,55723.2,55295.1,54840.3,54365.5,53878.7,53388.9,52905.5,52437.2,51991.1,51572.7,51184.9,50828.8,50504.1,50209.2,49938.6,49692.6,49468.8,49264.8,49078.7,48911.8,997102,997102,996511,995865,995168,994428,993658,992870,992080,991301,990547,989830,989155,988527,987948,987416,986923,986470,986055,985673,985322,0,0,0,0
57480.1052408897,65443.2973003385,65698.6116603765,65849.7056754485,65896.7005953212,65842.4711246701,65673.9819318967,65355.3788391136,64848.6822345083,64142.5653167881,63263.0522831312,62270.2048795363,61245.988730938,60279.6846185716,59451.6139428061,58818.0360382605,58401.1763732659,58186.5861894559,58124.9751031394,58139.20689549,58136.2275475427,58029.938317101,57758.3997091936,57293.2461995646,56643.2383373564,55855.3238821427,55014.288757887,54237.77707974,53656.7356021031,53395.6083085085,53540.1204564064,54112.3856670843,55063.1461284404,56278.903221527,57614.4289347945,58929.2787509223,60115.854228831,61111.7737414936,61891.1080395111,62445.9389151207,62769.6705926822,62643.712454034,62065.7206489216,61319.220573384,60490.2060003305,59661.5409615561,58892.3685529699,58221.4538270664,57684.4776953456,57326.3284789718,57199.0265129983,57342.9571359628,57756.1815211236,58368.5137585228,59047.8968996781,59642.5528167512,60028.6977260463,60145.954403234,60004.1516532612,59654.4256792386,59161.177191228,937637,883689.725919544,1056100.13603231,695242.816474957,1221689.05813189,1470848.38888667,979702.440097906,1020121.2861625,982477.421209129,1010369.6184383,995537.664832163,659754.106431882,659281.965266238,533689.247691044,653159.345981865,759380.039941357,498232.56584034,1097286.53047396,1839500.22175847,1022066.24139264,1283503.6182789,1896647.00893619,744043.076211498,1100101.43754525,1261852.8454743,1057818.11819366,1507733.24973199,1277534.41479149,874516.302400032,515406.524846356,556183.095358094,1683621.05524252,957117.636184156,1186174.74343447,1036667.75808546,552964.758029376,1109341.02820238,504810.394432308,1461859.19846364,1552388.10562473,2070888.09431767,1370249.7362335,1247383.70895569,972796.978999473,1241343.745974,593423.522747625,1284271.78013946,1087279.53857284,947383.092893528,1436588.18519067,736885.077895955,1043371.88412472,731679.242850194,792475.055634198,1073134.2299616,1664166.43605972,976175.434011218,706014.216527602,783159.388938504,1332026.17084169,56809.3,56809.3,56412.7,55984.6,55529.8,55055,54568.1,54078.3,53594.8,53126.4,52680.3,52261.8,51873.9,51517.8,51193,50898.2,50627.5,50381.5,50157.8,49953.9,49767.8,49601,1009350,1009350,1008760,1008120,1007420,1006680,1005910,1005120,1004330,1003560,1002800,1002090,1001410,1000790,1000210,999678,999186,998734,998320,997940,997591,0,0,0,0
57480.1052408897,61424.1324690069,61171.2964992084,60896.2114306328,60627.8674322056,60386.071740079,60165.8289802634,59931.1063464825,59633.3077225062,59241.9795446977,58784.0242542607,58342.9534651962,58032.6760234128,57956.0079599927,58160.5240886436,58621.9819608917,59253.5308615981,59945.7167399535,60606.0449085493,61179.0222066104,61647.0022988144,62022.4218894125,62341.7582826462,62654.2500089396,63010.105615788,63442.8277864679,63963.2243547149,64554.168108248,65182.6370919216,65808.879903744,66401.6623853192,66933.9696585874,67372.0593908983,67666.8343187315,67767.1346406936,67642.8124487706,67303.137072756,66794.7044734694,66186.2347540843,65551.4426723853,64959.0025190526,64255.5151713478,63437.0341751249,62704.3187868994,62016.3377329822,61321.4594038633,60584.6860932603,59790.5949092058,58931.8607582485,58005.3843783358,57023.9281043216,56022.3612916423,55048.8027085813,54152.4508807859,53371.9239149186,52727.8138400328,52218.423331794,51828.8940966567,51538.2259778514,51314.8370843042,51111.4399250071,1261011,1679988.301476,1240436.4008561,1127056.20563455,1133049.9998177,1013416.20899215,1459080.21086019,944843.88204566,797463.618505216,1217132.4366628,976287.843851242,1131696.3288192,1222043.36074097,1305083.95525789,1350139.17128145,1316233.87422293,1006276.26185859,814278.641483182,1889035.90176877,1515674.16434972,1112928.94074242,1033654.04537579,920279.538096346,1105812.69403713,1102531.05492026,617471.018110207,1382384.88190144,413011.542327941,1042410.68246991,1887906.42330256,847496.094315341,1152244.80989073,638078.569974668,1344914.45309749,1294752.85613275,1189958.1744657,636282.525045045,703762.417669005,1015757.16033339,1015240.06172951,789904.665605931,952013.453947047,1285238.566123,604985.021911177,777070.118450667,1216569.4596709,1605609.87523066,1025758.01087269,920338.980602509,514617.761537844,956712.038225508,920898.628362383,945506.977126894,863436.693800102,936731.254503369,1244750.26290995,930617.420283383,950774.895846768,899662.463343729,865594.33206374,50761.5,50761.5,50364.9,49936.7,49482,49007.4,48520.8,48031.5,47548.7,47081,46635.7,46217.9,45830.6,45475,45150.6,44855.9,44585.4,44339.5,44115.6,43911.4,43724.9,43557.6,901899,901899,901308,900659,899960,899217,898442,897647,896849,896062,895299,894570,893885,893246,892655,892111,891607,891143,890717,890325,889964,0,0,0,0
57480.1052408897,55534.6429189942,56033.5544447288,56493.143623439,56874.6157121925,57166.2231735508,57389.2041537024,57578.377361844,57758.0489586485,57927.719691311,58073.1509997645,58198.048294356,58350.4531459123,58612.7079747987,59069.7216141674,59768.9561042203,60692.7635566911,61758.9244038893,62844.944372102,63830.4840566513,64632.7261487647,65215.9371380744,65573.1547873095,65696.6071179795,65566.7346663414,65168.0914573943,64513.3741072293,63661.9899896577,62713.3629207295,61781.2362691773,60960.4445188469,60308.1530754619,59838.9041061914,59537.8237685899,59373.1096323593,59305.5919176319,59287.6005988979,59262.9235492141,59182.5382794211,59021.5332410983,58787.5422889746,58298.4841916784,57566.0156833408,56850.8197104014,56196.5369001642,55641.9484339256,55219.3134631932,54943.4176955128,54805.5814725869,54774.4423754545,54802.798131355,54843.6416549639,54861.558257691,54833.8390201467,54750.3883319477,54607.0102249114,54403.4976212375,54142.9707855683,53828.549202286,53470.1897647599,53085.2333014411,736039,1323948.10389167,1204601.12924593,1631826.21645284,1812418.8141409,1084432.936308,964159.427245821,1115989.81419435,1067355.64697815,1588872.09198025,1276110.9864217,1130900.00383354,941381.846933605,620658.691193244,689223.592076696,801060.832569619,854189.527524903,1142802.21966577,913254.819940235,1208863.62362612,822400.299414672,565838.678874802,1980666.73641016,824130.923901535,1228480.04091954,559701.317028189,1055583.07614977,954582.776651561,963115.412312007,1030438.15235993,765994.493826455,792457.026926049,1207605.92457431,646944.607122333,1501205.12591308,1041739.55675341,1197378.50587276,1231168.5293321,943379.129134043,1058653.86756022,1354464.41293996,716764.098689217,1203278.35453876,1151138.00305458,829409.003508741,1296892.91359951,876839.715131787,807860.29475901,978710.336317093,988892.877883081,942898.788013807,685357.172833555,1419365.29082184,1479174.37323876,623750.962648271,1439266.4585111,863397.952510737,1037961.05356384,708371.607982526,1126818.01517907,55625.3,55625.3,55228.7,54800.6,54345.8,53871,53384.3,52894.5,52411.1,51942.9,51496.9,51078.5,50690.7,50334.7,50010,49715.2,49444.5,49198.5,48974.7,48770.8,48584.6,48417.8,988317,988317,987725,987079,986381,985642,984871,984083,983291,982512,981758,981039,980364,979735,979155,978622,978127,977674,977258,976875,976524,0,0,0,0
57480.1052408897,61262.0279941394,61824.6237346891,62498.6223329755,63202.0199717166,63833.740472824,64303.4095612405,64564.6184744959,64631.3088829334,64562.5922636949,64432.4648539067,64302.6523526009,64212.9953731416,64185.754503334,64225.4775315667,64317.6676903806,64426.1910074032,64499.9074260208,64491.1880830178,64365.8645552631,64111.4595008252,63741.5758193957,63300.3791957004,62855.2741167161,62478.737410085,62217.5700447285,62070.8460832823,61994.2920705844,61921.4037263177,61796.5505016195,61593.1725894526,61314.8741674735,60985.6645902033,60640.3739644562,60315.4278071486,60043.3178950464,59848.9283262904,59752.6257811101,59775.5158572971,59944.9366465941,60293.2815314018,60658.2079488856,60990.6147371032,61415.2601048603,61841.1443386616,62169.1331124127,62320.1955124011,62263.8815872876,62030.7880232926,61707.2668565719,61396.7572746095,61173.3039569747,61047.0011937962,60962.3025502295,60822.4703831532,60517.5780778908,59962.1977722577,59126.7075864328,58044.181388262,56799.0890403382,55501.130464419,1120890,1383090.66536674,1348799.30685804,1107884.85154223,865090.866608958,1551711.06453025,951427.493274081,1041886.42312712,928265.443959648,562608.106125759,988253.573925506,762241.092664797,1800350.65851098,1082557.96387454,1034860.26617148,1113562.25410701,853587.351225582,1184553.61081495,786590.963013231,942865.174154773,1116313.89859409,842185.758210376,884715.02251644,1368951.70079195,852674.14511518,845222.933902587,1065339.39779793,575524.837117832,1850385.3319868,1188159.75972417,967939.862288558,2377879.95852434,908366.289128749,1382232.96763044,781894.751222518,624271.271826056,1041728.54364249,1149025.80872586,1217861.0076005,1700814.45060907,897298.237099674,1801855.41559654,1629801.37545688,595203.372625432,646092.829864263,787418.613765959,590914.08148723,662630.010411314,1554220.43162425,875448.620684282,948707.530014097,554541.776304843,789009.158241224,880357.271417269,861204.462648435,1154363.00357356,1007966.60657591,940490.355945711,749255.347620423,572385.316210082,53496.9,53496.9,53100.3,52672.2,52217.5,51742.7,51256,50766.5,50283.3,49815.3,49369.6,48951.4,48563.9,48208,47883.5,47588.7,47317.9,47071.8,46847.9,46643.9,46457.5,46290.5,950501,950501,949909,949262,948564,947823,947050,946260,945465,944683,943925,943202,942522,941889,941305,940767,940269,939811,939390,939004,938648,0,0,0,0
57480.1052408897,54904.3947315218,55302.8067758326,55752.1093649385,56206.7473856368,56632.359598024,57011.6435575837,57337.9862774432,57601.6675537113,57787.889302157,57882.6634355444,57890.1899093566,57840.5457671901,57780.0812715049,57751.8955130898,57788.1830033578,57911.4573306633,58150.2439344642,58543.6672737721,59136.5051956932,59955.0139230797,60975.0990200565,62103.2698827863,63193.937080514,64107.6866108107,64764.4737359167,65159.7177582259,65338.2237462318,65355.8299529889,65258.4855058262,65079.0700424804,64841.4260814588,64560.6125950335,64241.9638492081,63887.8354503151,63510.2251702927,63142.2142648535,62832.1008646352,62621.1583245042,62525.0239478716,62534.622406646,62425.5326607114,62128.3587345086,61808.9057253906,61432.4539322709,60971.4601757744,60408.7339742636,59757.4413874791,59060.1355345661,58367.0622785927,57713.3702170768,57106.7484390604,56531.2569167883,55971.1755466628,55425.5528996658,54910.2547206939,54448.3589322409,54044.4812381889,53671.8373776925,53286.0213647039,52844.89681345,1209535,1055150.09504183,837789.018470207,1051492.88274319,980548.631041665,810978.635833389,734942.958027664,971983.247958573,3064188.24793145,1066619.72069704,1106874.95274803,1005374.51193211,895391.546300505,1171421.88042139,1475753.29950442,715827.853263859,1139906.7811637,1178630.74736789,793040.607894002,1360366.03684124,1416025.5898478,686089.429687565,562272.080640621,1094354.62154395,1169565.56541726,1262856.62546323,905673.306220392,1186980.37179981,1002855.1129674,996178.419208339,1501365.06576482,1546854.08901546,805623.826611477,813498.503643361,770839.106542439,938436.052895217,1427844.21337987,870431.075897786,1521886.19260699,930444.90433478,585651.349213025,1138438.6176742,764559.700488946,1031682.03397236,1456904.30044705,1069001.76869814,656947.229635398,1742756.90776329,690289.474605416,582526.054947899,719860.850737177,712192.76199687,849041.90311437,1087425.7878811,1214647.09642762,1374431.93726698,1130260.76774699,1202412.87729981,1086207.2822043,1009429.6592414,49581.2,49581.2,49184.6,48756.5,48301.8,47827.1,47340.7,46851.5,46368.8,45901.3,45456.2,45038.5,44651.4,44295.9,43971.5,43676.9,43406.3,43160.3,42936.3,42731.9,42545.2,42377.8,880929,880929,880337,879689,878989,878245,877468,876672,875872,875083,874317,873586,872898,872256,871662,871116,870608,870141,869712,869317,868953,0,0,0,0
57480.1052408897,57764.8844988133,57805.0257963043,57889.0094617044,58030.6303464162,58230.5387832395,58482.7848309196,58782.5456175134,59128.4158296376,59517.3227268423,59943.177475964,60397.1249555369,60873.3511750811,61364.2677772476,61852.0498117262,62294.6767722478,62636.9943555703,62832.7835821041,62865.9015431796,62746.990982895,62499.6662351833,62150.5145354616,61733.0909235676,61294.1632814995,60894.2299431909,60581.5783145911,60367.6987135412,60214.2827992602,60049.5002355631,59798.156053083,59414.5036409807,58898.493029152,58296.2459054409,57682.5982011654,57135.9237278032,56724.2141535935,56497.6687078834,56488.5319805466,56704.9991908148,57124.9259407389,57694.2225192487,58139.8276674717,58352.3642654068,58490.0015781226,58546.775228752,58543.8437200665,58507.9135865682,58456.9579830857,58390.4364950315,58293.7830489121,58145.8841322748,57929.0327856344,57639.4804974318,57285.5276409909,56878.3580580944,56427.4336945453,55950.7227186879,55478.0544318576,55050.5844941821,54698.2504874762,54415.9513918252,1490153,1519609.85227092,1266644.17103001,796045.782678885,1102564.62410535,871884.320674355,1262723.12647083,1164900.12880945,1023481.7870517,468701.530523284,841958.760590978,830944.578146448,1472668.08450742,1154601.96968127,1044426.76037173,1377001.10177053,881347.467230314,731790.827765077,510553.188014677,1227534.69399144,620590.225430582,907919.699051653,917709.582379873,788678.147962335,908828.694875069,1360097.08486032,1114024.3271229,1290049.05349717,1287345.19963623,1073585.7225897,900732.880785588,850940.31058415,1267099.43282271,1271221.62546484,997964.923906416,1437888.88812059,1169963.16507259,839323.05062094,1148257.51135722,972997.537846541,1291623.46741191,1381595.1026262,770843.808394341,526647.295711639,1155054.8308835,706742.884557794,1479227.56450374,1403800.17497203,757886.518730369,1312063.43615712,968510.527718439,771654.804131528,834780.034132063,1082682.37973689,984810.880973091,775108.520961266,688903.33345869,859516.686902934,672374.94849433,910572.956456611,55293.9,55293.9,54897.3,54469.2,54014.5,53539.7,53052.9,52563.2,52079.8,51611.6,51165.7,50747.3,50359.6,50003.6,49678.9,49384.1,49113.6,48867.7,48644,48440.2,48254,48087,982429,982429,981838,981191,980493,979753,978983,978194,977402,976622,975867,975148,974472,973843,973262,972728,972233,971779,971363,970980,970628,0,0,0,0
