OM_ssb0,OM_ssb_R1_1959,OM_ssb_R1_1960,OM_ssb_R1_1961,OM_ssb_R1_1962,OM_ssb_R1_1963,OM_ssb_R1_1964,OM_ssb_R1_1965,OM_ssb_R1_1966,OM_ssb_R1_1967,OM_ssb_R1_1968,OM_ssb_R1_1969,OM_ssb_R1_1970,OM_ssb_R1_1971,OM_ssb_R1_1972,OM_ssb_R1_1973,OM_ssb_R1_1974,OM_ssb_R1_1975,OM_ssb_R1_1976,OM_ssb_R1_1977,OM_ssb_R1_1978,OM_ssb_R1_1979,OM_ssb_R1_1980,OM_ssb_R1_1981,OM_ssb_R1_1982,OM_ssb_R1_1983,OM_ssb_R1_1984,OM_ssb_R1_1985,OM_ssb_R1_1986,OM_ssb_R1_1987,OM_ssb_R1_1988,OM_ssb_R1_1989,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,OM_ssb_R1_2011,OM_ssb_R1_2012,OM_ssb_R1_2013,OM_ssb_R1_2014,OM_ssb_R1_2015,OM_ssb_R1_2016,OM_ssb_R1_2017,OM_ssb_R1_2018,AM_ssb0_,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010,AM_ssb_2011,AM_ssb_2012,AM_ssb_2013,AM_ssb_2014,AM_ssb_2015,AM_ssb_2016,AM_ssb_2017,AM_ssb_2018
57480.1052408897,61422.4692314266,61461.63002238,61265.8113839658,60879.2690581973,60366.5514803297,59785.2493647841,59163.1886425848,58497.2032576271,57776.5269206229,57004.1238392496,56213.5983585151,55457.2985952641,54793.8263682125,54274.2596161786,53937.0837777963,53809.6899259353,53906.9751302763,54225.2644756049,54734.0218599322,55370.3430243415,56034.6690194711,56606.1835563623,56967.5910123605,57034.7682860591,56773.0159704949,56199.2693392511,55379.8657549074,54420.8278988228,53451.432157419,52598.0263415392,51963.57808936,51612.940616425,51571.2829462247,51827.6876301438,52343.5362620452,53063.2473520286,53924.0949264279,54861.0874152459,55805.3705478399,56687.2057261384,57044.310281194,57179.5345549105,57092.7667080971,56823.5416371685,56434.7884210182,55999.1610968889,55583.3177215375,55233.3064049362,54955.9219475113,54714.9056129404,54453.6407857473,54131.7675119553,53748.3585975216,53342.3573381792,52970.1927562038,52686.9724828134,52532.3210990231,52517.0099749619,52612.9213852825,52765.5698500744,58277.2,58277.2,57880.6,57452.5,56997.7,56522.9,56035.9,55546,55062.4,54593.8,54147.5,53728.8,53340.8,52984.6,52659.8,52364.9,52094.4,51848.7,51625.1,51421.4,51235.4,51068.7
57480.1052408897,57905.9221362544,58513.0348522016,58928.2685995497,59187.0456923942,59363.4471559152,59522.6210756085,59687.7812950418,59835.5029596127,59912.0668927397,59860.4827642324,59641.5385656489,59244.0207298966,58683.1556795931,57998.1555832979,57241.148580071,56470.1163247907,55739.3399659583,55094.5831740005,54569.4113004641,54178.0289884447,53916.424653814,53770.1434405421,53729.0879433748,53795.3641790379,53975.3917957842,54270.6092950201,54670.0493609829,55148.5172750385,55663.8812624892,56154.8384646668,56542.1798109133,56752.0731042754,56742.9809296344,56523.9071710083,56153.0346551024,55718.0573397772,55314.3965983904,55024.309749628,54891.510409806,54905.0049875494,54631.8123842415,54323.7395801799,53920.3600374336,53395.4052556532,52743.6096709529,51970.9597245825,51098.3128736468,50169.0916820682,49252.7301830725,48430.7229174237,47776.8483145355,47349.9484987334,47189.2210613157,47306.6114989274,47682.815769611,48268.3937285685,48991.0416095635,49772.9712270804,50539.9129246914,51225.4050091243,60954.6,60954.6,60558,60129.9,59675.1,59200.2,58713.2,58223.1,57739.2,57270.4,56823.8,56404.9,56016.6,55660.2,55335.3,55040.4,54770,54524.3,54300.9,54097.3,53911.4,53744.8
57480.1052408897,49807.6336405558,49565.1209977629,49457.2972190574,49472.9971454987,49601.3537593788,49844.5395373509,50213.8078364272,50715.6109359216,51335.1742335382,52034.6950731949,52761.2002724379,53462.8740690474,54101.5694594451,54663.6757709347,55164.4838426227,55641.1144522432,56139.8869745946,56700.0888453919,57339.5707229588,58047.5936875038,58779.8587895543,59468.6093887517,60048.2111286957,60490.7004475024,60819.1432950536,61097.4311710292,61395.0238278754,61754.3604168672,62170.261441236,62593.518912718,62952.1096695161,63170.8229526881,63184.5131557259,62945.123226226,62438.0791113324,61694.1583389264,60787.1167649336,59813.6262814525,58856.438726119,57958.2801144101,56696.2685810435,55425.1023689142,54134.4382152775,52843.4356347182,51602.3189225895,50479.7791120385,49537.3927206773,48802.9903444432,48259.8051703712,47860.1076311632,47552.4855854678,47302.5353124663,47085.6726015439,46880.971395034,46669.6986929881,46438.5959479866,46189.8487045467,45950.0004766631,45762.6467159597,45669.3246600226,50405.1,50405.1,50008.5,49580.3,49125.6,48651,48164.5,47675.2,47192.4,46724.8,46279.5,45861.7,45474.5,45118.9,44794.5,44499.8,44229.2,43983.3,43759.5,43555.4,43369.1,43201.8
57480.1052408897,53386.0592397179,52713.1889166367,52059.0897074357,51439.1138184873,50862.9106642069,50340.3275839314,49879.1006469344,49481.5191499096,49146.0923056457,48877.3115635798,48695.0666163949,48631.1708685511,48717.6049331029,48971.7501386868,49386.9693909432,49937.4505984518,50587.3320887719,51289.6856834433,51988.9131418575,52624.6281403031,53144.2331182679,53524.627103968,53778.0209131769,53947.7403247023,54095.9455277679,54284.8913737713,54555.9596090279,54913.2173541198,55324.3564483658,55737.4307443947,56105.2518659247,56404.4147219041,56651.9418036327,56900.444811216,57224.0996098537,57689.1661854744,58328.1633874167,59120.5367273066,60001.6154799716,60886.8442714711,61312.8786858304,61562.4403862159,61601.2189066715,61412.1797390316,61007.4691797929,60427.956347074,59738.7792306952,59006.2033016022,58277.2796426586,57580.3280369763,56931.2921446571,56341.5749033858,55824.7151450825,55387.5693823386,55014.8965258957,54674.0531166631,54324.9362340812,53930.7124173808,53458.4611712586,52893.3650206855,56119.8,56119.8,55723.2,55295.1,54840.3,54365.5,53878.7,53388.9,52905.5,52437.2,51991.1,51572.7,51184.9,50828.8,50504.1,50209.2,49938.6,49692.6,49468.8,49264.8,49078.7,48911.8
57480.1052408897,60183.5091622177,60427.1301837227,60576.7347666544,60632.0038187802,60595.461967471,60455.0021941725,60177.0583028362,59725.3960454095,59087.8793074519,58286.6524064339,57375.7187786747,56430.1925086229,55532.8805864809,54759.2094982992,54163.0567292405,53767.1697003942,53560.5078375032,53499.3672697159,53513.3164058791,53516.2410043773,53427.53462547,53187.7924195884,52768.4081560375,52175.109608775,51448.9817389124,50666.5108255252,49935.3731255987,49376.6412828483,49107.2452036779,49209.7328308347,49708.5693799032,50561.9623468638,51667.7071744071,52892.7771055081,54106.9846859012,55209.5432352122,56140.9923493007,56875.8368261048,57405.4504544732,57722.2656222646,57425.1496712539,56910.0148915376,56232.7911183003,55472.2496781517,54707.8343344488,53997.2820888104,53378.9885627608,52882.9412979052,52545.7344681265,52413.8723101725,52527.5194192197,52889.6526789318,53439.7371689179,54059.3477529515,54610.9026287038,54978.0924127954,55101.2906954859,54986.497870153,54677.047789283,54231.8612046462,56809.3,56809.3,56412.7,55984.6,55529.8,55055,54568.1,54078.3,53594.8,53126.4,52680.3,52261.8,51873.9,51517.8,51193,50898.2,50627.5,50381.5,50157.8,49953.9,49767.8,49601
57480.1052408897,56531.0833283201,56302.3769760103,56051.8965202528,55806.522318232,55585.008285039,55383.4968869405,55168.941132456,54895.9308144299,54534.6397200857,54108.0675808752,53692.0415278895,53391.8371149721,53304.2023813388,53475.8222986811,53887.2826666278,54460.2379992359,55094.0516185864,55702.5788271143,56232.8251954867,56666.5731710961,57013.775945444,57307.2370892891,57592.1558173685,57915.3956198525,58308.8090950736,58783.8994779392,59325.8984859567,59905.3412889015,60485.902555994,61038.6607194472,61538.6398448245,61954.7111754112,62241.3466988681,62350.3391604822,62251.9613861498,61952.647998322,61493.9466744304,60938.7500009066,60355.1541517958,59807.1973380418,58967.9040187644,58214.7625059761,57540.6152665125,56906.15635907,56264.755830208,55586.7919825013,54858.853687026,54072.1428032699,53222.6130534684,52321.9101390455,51400.0995866888,50500.2028337015,49671.1731853908,48950.3637503417,48353.4131232025,47876.0587530755,47506.1082544523,47227.6697837246,47014.7932043389,46824.3770550545,50761.5,50761.5,50364.9,49936.7,49482,49007.4,48520.8,48031.5,47548.7,47081,46635.7,46217.9,45830.6,45475,45150.6,44855.9,44585.4,44339.5,44115.6,43911.4,43724.9,43557.6
57480.1052408897,51036.9989357354,51500.6919149495,51929.6620117668,52287.3286857624,52561.443364615,52770.5726177351,52946.4963262548,53111.9838974697,53267.0064490758,53397.9761613863,53507.1215939004,53637.8789418045,53866.2515648748,54272.2084785686,54902.4504730623,55743.8823357599,56723.204660249,57728.3512602994,58647.693688668,59403.0861459604,59959.7577586471,60310.2426416658,60446.261871437,60348.6028716763,60001.3976701075,59414.3674580192,58640.4531802489,57770.3194336295,56909.1434747293,56145.7016332214,55534.8419497365,55092.0879541314,54805.3392251572,54646.37569968,54579.6445907459,54561.43374851,54539.5329642646,54467.7447738635,54321.6706339983,54107.0477769402,53462.2626620401,52790.3849722819,52133.260148437,51529.1330408714,51013.0925077134,50615.7937674305,50351.9228431759,50215.9182555096,50179.9678350894,50200.719325278,50236.3116281117,50253.5962214249,50230.1955120662,50156.4302049028,50026.9076160185,49841.5762091615,49604.3890501182,49317.2151812251,48989.156326048,48637.324487144,55625.3,55625.3,55228.7,54800.6,54345.8,53871,53384.3,52894.5,52411.1,51942.9,51496.9,51078.5,50690.7,50334.7,50010,49715.2,49444.5,49198.5,48974.7,48770.8,48584.6,48417.8
57480.1052408897,56323.6027365317,56831.8387059036,57448.1032186455,58097.2320053909,58685.6188902119,59128.1421856022,59379.3919697119,59449.8143425956,59392.4544069511,59275.4505440253,59156.3998642705,59073.1059522928,59047.0074921748,59083.1478757664,59169.1540267354,59272.4254931606,59345.8681271019,59344.9979510214,59237.2440300642,59009.8608050742,58674.0348662894,58269.5474179926,57858.3059914345,57507.834978579,57262.8721197884,57124.4002243032,57053.0016896879,56987.7280320608,56876.3441052896,56692.9042706238,56439.5164383577,56136.9691484089,55816.7133355952,55512.1122462157,55253.3680456902,55063.8949202776,54962.9447961781,54970.4057491698,55112.0162880354,55418.3844563577,55575.2595005386,55869.6654367028,56250.552447782,56637.1521605025,56941.6707957601,57090.4268041227,57052.1449314701,56851.0415404998,56563.4395948022,56284.0112987694,56079.3668519974,55959.6922929613,55879.425090565,55753.7368182574,55482.9066515231,54989.3064352663,54242.1081976901,53263.2805993915,52127.1254308243,50936.0182688333,53496.9,53496.9,53100.3,52672.2,52217.5,51742.7,51256,50766.5,50283.3,49815.3,49369.6,48951.4,48563.9,48208,47883.5,47588.7,47317.9,47071.8,46847.9,46643.9,46457.5,46290.5
57480.1052408897,50475.7549167981,50838.2739354884,51250.1053734282,51669.2802060881,52063.6399731005,52416.7959713147,52722.5111609934,52971.6606246824,53149.6289470844,53242.304376656,53252.3862606687,53206.7038137889,53147.7085158787,53115.2907554663,53139.5434402479,53241.6132800043,53448.2346360115,53796.0295541145,54327.749480715,55069.8052084619,56002.4857885663,57041.7782762141,58054.0973453983,58909.48605409,59531.2338559179,59912.2305970502,60092.0689306635,60121.509419384,60042.830464558,59886.495453789,59674.6016958821,59421.0602551803,59130.8482865979,58806.0477584543,58457.3785389971,58115.1176742707,57823.9984018893,57623.0414788429,57527.7370528005,57530.7513587954,57244.4061367404,56966.7466755156,56672.0813646324,56329.6766779843,55913.253224665,55403.5119476651,54810.2300948061,54169.790957332,53529.2311330415,52924.7233346996,52364.784201841,51835.9219258274,51322.6351515792,50821.1485515689,50346.3752468128,49919.8423572358,49543.069239331,49193.1460967395,48833.3746956632,48426.1334338372,49581.2,49581.2,49184.6,48756.5,48301.8,47827.1,47340.7,46851.5,46368.8,45901.3,45456.2,45038.5,44651.4,44295.9,43971.5,43676.9,43406.3,43160.3,42936.3,42731.9,42545.2,42377.8
57480.1052408897,53130.6401313084,53165.5358466446,53239.1636653543,53364.905057841,53543.9399824021,53771.1892837032,54042.3674739485,54356.3233449995,54710.408693913,55099.5542154906,55516.0219068807,55954.8926833009,56409.4280139972,56863.7960372227,57279.5355750171,57605.3292103734,57797.3493931667,57839.4440328628,57740.4613964921,57521.4094752612,57206.3548400117,56825.9239615651,56422.9911174101,56053.9530318645,55764.6496113901,55567.4058252684,55428.2451501246,55281.2628007417,55056.0792971394,54708.6476244254,54236.7960108105,53681.4833553478,53111.0043733191,52597.6630086675,52204.9939933253,51980.3560501483,51954.9633834049,52138.2147986808,52511.4531393315,53026.0373320531,53250.2801263011,53446.6337152169,53576.204780024,53632.3793343307,53632.4368776356,53600.938846357,53556.6769272628,53499.7707798866,53416.3913201356,53284.7540738912,53086.6935962466,52821.2266752693,52499.1478727541,52130.5699676327,51722.9695071176,51289.4790589376,50855.6090076436,50461.000902593,50133.5948643341,49870.4419064952,55293.9,55293.9,54897.3,54469.2,54014.5,53539.7,53052.9,52563.2,52079.8,51611.6,51165.7,50747.3,50359.6,50003.6,49678.9,49384.1,49113.6,48867.7,48644,48440.2,48254,48087
57480.1052408897,54068.401907309,53856.6513132758,53664.7848908227,53530.5539279174,53474.4972449613,53504.2389249678,53619.3341238513,53808.2990422866,54045.9236779417,54293.7071769839,54508.0430387312,54643.1509282072,54656.9770252286,54517.4737211401,54211.8064254742,53755.0562863629,53189.2804752322,52580.4836504421,51996.9520528727,51494.9911974895,51107.6100194912,50845.6432153525,50699.6777272931,50645.7544517584,50650.2146465313,50675.7686297827,50688.9732043744,50666.7966389088,50601.3679526906,50496.9056947875,50362.6393923668,50204.5150427845,50025.1682677316,49829.7390799935,49632.2938328243,49458.6661615814,49339.8162966922,49301.5825019094,49362.2735581748,49535.1669975525,49494.0711367353,49565.5439353264,49755.807163389,50053.8610233924,50426.9126250315,50822.1607771692,51187.4476016567,51496.3083658178,51751.0145961929,51968.1290396678,52171.86309424,52387.6870453837,52631.8131713149,52906.690511311,53203.5818565537,53496.4982054535,53746.4758818487,53911.7061157233,53962.2125205101,53893.6320183406,54900,54900,54503.4,54075.2,53620.5,53145.7,52659,52169.3,51686,51217.8,50771.9,50353.6,49965.9,49609.9,49285.3,48990.4,48719.7,48473.7,48249.9,48045.9,47859.8,47692.9
