OM_ssb0,OM_ssb_R1_1990,OM_ssb_R1_1991,OM_ssb_R1_1992,OM_ssb_R1_1993,OM_ssb_R1_1994,OM_ssb_R1_1995,OM_ssb_R1_1996,OM_ssb_R1_1997,OM_ssb_R1_1998,OM_ssb_R1_1999,OM_ssb_R1_2000,OM_ssb_R1_2001,OM_ssb_R1_2002,OM_ssb_R1_2003,OM_ssb_R1_2004,OM_ssb_R1_2005,OM_ssb_R1_2006,OM_ssb_R1_2007,OM_ssb_R1_2008,OM_ssb_R1_2009,OM_ssb_R1_2010,OM_rec_R1_1990,OM_rec_R1_1991,OM_rec_R1_1992,OM_rec_R1_1993,OM_rec_R1_1994,OM_rec_R1_1995,OM_rec_R1_1996,OM_rec_R1_1997,OM_rec_R1_1998,OM_rec_R1_1999,OM_rec_R1_2000,OM_rec_R1_2001,OM_rec_R1_2002,OM_rec_R1_2003,OM_rec_R1_2004,OM_rec_R1_2005,OM_rec_R1_2006,OM_rec_R1_2007,OM_rec_R1_2008,OM_rec_R1_2009,OM_rec_R1_2010,AM_ssb0_,AM_ssb_1990,AM_ssb_1991,AM_ssb_1992,AM_ssb_1993,AM_ssb_1994,AM_ssb_1995,AM_ssb_1996,AM_ssb_1997,AM_ssb_1998,AM_ssb_1999,AM_ssb_2000,AM_ssb_2001,AM_ssb_2002,AM_ssb_2003,AM_ssb_2004,AM_ssb_2005,AM_ssb_2006,AM_ssb_2007,AM_ssb_2008,AM_ssb_2009,AM_ssb_2010,AM_rec_1990,AM_rec_1991,AM_rec_1992,AM_rec_1993,AM_rec_1994,AM_rec_1995,AM_rec_1996,AM_rec_1997,AM_rec_1998,AM_rec_1999,AM_rec_2000,AM_rec_2001,AM_rec_2002,AM_rec_2003,AM_rec_2004,AM_rec_2005,AM_rec_2006,AM_rec_2007,AM_rec_2008,AM_rec_2009,AM_rec_2010,SelLL_P1,SelLL_P2,SelLL_P3,Starting_AM_B0
202967.651547297,206595.029175549,205586.48167779,202474.115253165,198407.613197542,193973.822478766,190510.681858794,186529.929063585,183421.124405885,179951.212260976,177665.44716532,175215.913923204,171894.924788805,168329.484032047,163887.871042559,160272.989059562,156535.090700922,154833.227302753,154440.880265022,155115.457316555,155567.989306834,155305.496855941,13201974,10096679.7004098,14261738.6984706,17147168.8843675,14530855.1309078,23886931.7373764,20785842.3559902,17799306.2916678,13197071.1167407,12553185.1638627,18629479.72468,21636895.1134738,13119887.7034381,15299873.0248483,15596302.6342258,16415589.2327214,11649481.5020014,20867991.0835237,15318551.2407048,11647457.7568714,22093600.0737923,219264,219264,216458,213338,209912,206211,202296,198247,194154,190102,186169,182415,178873,175555,172459,169580,166908,164435,162148,160037,158092,156304,17242600,17242600,17218700,17191500,17160700,17126500,17089000,17049000,17007000,16963800,16920300,16877300,16835300,16794600,16755400,16717800,16682000,16647900,16615500,16585000,16556200,0,0,0,0
202967.651547297,226344.581790022,229323.35081283,232657.894878595,234220.204966716,235021.68937068,232975.594679907,228895.477369941,224641.21347646,217947.157344973,211800.949632895,205840.775098077,200419.572054664,196411.574300219,191980.997058521,189155.534945738,187872.932522463,186233.995319702,184434.998118148,182242.119079886,178939.269726388,175013.066002195,17443983,17908807.1688162,17097294.2968714,22167859.3751222,25076887.2929338,11935472.8712057,15300252.3655586,16079910.1254911,8920076.28452098,15580314.4272907,22217890.9784022,15426227.2650419,12881839.6820691,12588443.0468735,12036159.2232296,18266527.6671604,30990965.7247332,14927873.6113414,12111820.664033,24877600.5430239,29398533.6760693,215077,215077,212272,209151,205725,202025,198111,194064,189972,185923,181993,178241,174701,171385,168291,165412,162740,160266,157978,155866,153920,152129,16913400,16913400,16889500,16862200,16831400,16797100,16759600,16719400,16677300,16633900,16590300,16547000,16504700,16463700,16424200,16386300,16350000,16315600,16282900,16251900,16222800,0,0,0,0
202967.651547297,200071.186170063,199933.458422992,198714.472948792,198220.839649008,197277.826513947,195807.143832491,193828.36741619,192358.873246754,189419.406879542,186629.32007041,184283.602724071,181030.233306876,177125.756164715,173667.275899444,171493.236004042,168110.889858299,166238.017608645,164356.999083859,162922.427420818,160906.158869897,159789.050681576,11935438,10531540.7594342,19377365.8275455,17464133.6257235,13771112.5864674,23966514.1975175,10975379.6973074,14619234.6066473,13810071.7979346,21411976.7401603,15296163.8504502,21911149.605327,16057695.353117,15763573.771515,15961996.2719507,13160656.7242163,4372856.85084114,14996420.77461,17922874.1021259,12475898.8913503,15337048.4310985,235149,235149,232343,229223,225797,222095,218176,214122,210021,205960,202018,198255,194705,191382,188283,185402,182730,180258,177974,175868,173928,172147,18491800,18491800,18467900,18440700,18410100,18376100,18338900,18299300,18257800,18215200,18172500,18130300,18089200,18049500,18011400,17975000,17940400,17907500,17876500,17847200,17819800,0,0,0,0
202967.651547297,226861.989693756,226657.701406215,224559.199853127,224155.631267969,223670.540936251,223272.416599663,220397.130685846,217492.935194817,213948.048831651,208713.69858084,203833.874774525,198568.176726174,194243.810650191,189601.006394122,184827.744470401,180363.645597359,175587.46836779,172788.259274726,169748.629426247,167808.424578212,166032.491246432,14063126,16867936.3775813,11482103.3972039,13552704.2375326,15848972.9798437,14161732.0648828,25042479.4675351,12940254.4366355,19134826.4606463,13823496.9667406,14568225.8489468,19850297.5690563,10063066.7439934,18308249.3345919,11794745.1581077,14380158.2208517,13047004.7231668,20603059.5346991,15556301.5051277,24287601.0604194,16163853.6564475,217812,217812,215007,211886,208460,204760,200845,196797,192704,188653,184721,180968,177426,174109,171014,168135,165463,162989,160702,158591,156645,154856,17128500,17128500,17104600,17077300,17046500,17012300,16974800,16934700,16892700,16849400,16805900,16762800,16720700,16679900,16640600,16602900,16566900,16532700,16500200,16469500,16440700,0,0,0,0
202967.651547297,222406.052443704,221092.567540157,217883.432232711,215127.682384672,210287.985255779,206260.776964786,200901.350988659,196478.111337175,192182.388176061,187039.726005456,182906.597013644,178919.632389642,175558.082146467,171510.841871751,168133.721461218,164632.40732106,163027.261992411,160978.572214164,159836.694805624,160625.125765649,160543.082784797,14150743,11761055.6585259,14126631.1139567,20096654.2363365,13619529.7713904,26355240.7531476,9755186.76948499,16324303.146232,26720721.0236254,12765962.7528824,16383995.790105,20348770.3716362,14613253.6997339,14810747.24627,13295936.9251878,10308617.1284198,21407568.4206276,8883649.1621658,21885219.1164389,15971850.3712752,6829043.59221814,217060,217060,214255,211134,207708,204008,200093,196045,191953,187902,183971,180218,176677,173360,170265,167386,164715,162241,159954,157842,155896,154107,17069400,17069400,17045400,17018200,16987400,16953100,16915700,16875500,16833400,16790200,16746600,16703500,16661300,16620500,16581100,16543300,16507300,16473000,16440500,16409700,16380800,0,0,0,0
202967.651547297,184415.540440491,184657.334755434,184355.340206532,184595.489951883,183771.662979786,182631.776608282,181851.82058336,179109.480399919,175411.200011793,170876.849583828,167254.709870739,163110.904912226,158067.037866889,154117.863956748,151608.470455353,149130.376552012,147192.228863861,146377.448759941,145536.888385404,144850.359250143,143060.307390233,7271651,9322219.49811175,16565848.7178271,23998077.9564019,13240527.3442117,17539287.1865023,15392770.4249382,9753471.78150216,16466245.5677637,13731671.2822087,17694894.8867316,21439934.5161807,22192041.5560442,11531418.8184099,17522777.7339125,17833286.1620751,11093288.2267295,18533408.3280667,15119753.2303923,12142770.8994965,19180033.7834067,210922,210922,208116,204995,201569,197870,193956,189911,185822,181775,177848,174099,170561,167247,164153,161276,158604,156129,153841,151728,149780,147987,16586600,16586600,16562700,16535400,16504600,16470200,16432600,16392300,16350000,16306500,16262600,16219100,16176500,16135200,16095300,16057000,16020400,15985500,15952400,15921100,15891600,0,0,0,0
202967.651547297,228496.260708241,226090.889679576,221282.018020134,216972.801670011,214055.007765205,212034.31952999,207911.909385419,205298.319393911,204162.917067645,202151.699363847,200263.993749107,197147.473330605,195617.825812754,194174.858304924,191916.79072766,189862.193214735,187262.376351306,185340.907151072,182875.423251495,180332.775254287,177570.039662444,14346043,18412671.8613969,23460390.6658431,13883790.5429909,16134757.9391529,15716554.7887583,18062999.7322852,14090417.9567757,20682798.8260296,11447514.2393311,24883490.9338638,16570336.3248072,15185541.2265221,12139336.5668423,13547246.7766546,25899780.9733873,20386953.4366569,26402571.189701,20078072.92207,10995661.6658702,25077471.2175243,231095,231095,228289,225169,221743,218041,214123,210070,205971,201912,197972,194212,190664,187342,184244,181363,178691,176218,173934,171826,169886,168102,18173000,18173000,18149100,18121900,18091200,18057200,18020000,17980200,17938600,17895900,17853000,17810600,17769300,17729400,17691000,17654300,17619400,17586200,17554900,17525300,17497500,0,0,0,0
202967.651547297,232534.161072611,230453.238243225,225501.628023811,221091.090774574,215039.337630938,208769.043580713,201895.946105768,195021.026422878,188444.638427378,181015.199129038,175297.516603622,170856.442624506,167055.565780547,163510.414551846,159964.281460519,157836.628058978,155025.963676197,152840.312312554,151805.366989709,150425.986755305,149654.759687076,17214815,16575238.506333,11235131.9353505,13820757.3240659,20369737.7320228,11911246.697225,19219920.2242881,21322605.9204195,8785318.10833762,16852473.3414772,15535935.2655015,21513886.2055237,13510902.8439736,19653284.3416259,12507362.3673156,18365902.1798163,22367983.9301571,12409152.4853952,12097056.0346808,19269049.8359463,10627811.4652822,213116,213116,210311,207190,203764,200064,196150,192104,188014,183965,180036,176286,172747,169432,166338,163460,160788,158314,156026,153913,151966,150175,16759200,16759200,16735300,16708000,16677200,16642800,16605300,16565000,16522800,16479400,16435600,16392200,16349800,16308700,16269000,16230900,16194500,16159800,16126900,16095800,16066500,0,0,0,0
202967.651547297,218348.778292786,217588.525226658,214931.280795447,210731.389046047,205671.354751079,197927.504668132,190076.592793802,181350.332243943,173042.40942593,165714.332073349,158318.671378971,152482.180074401,148083.762882589,144157.656193722,141643.394034881,139805.538587999,139624.156351419,138604.31618024,136663.920728917,134995.67775323,133338.977967209,18171964,18360708.2006819,10880828.235612,19972902.7607937,15718907.4418693,19508889.6433769,10893550.7643334,11301009.9065922,12338673.8379274,17348876.0166406,9354044.57145978,16534792.3299909,20010433.8192666,19424849.9449733,8013224.00496202,17767999.2495023,25230632.75717,9605330.02147947,17230647.4840978,15158122.6154586,11261181.7629767,200874,200874,198069,194947,191521,187823,183912,179871,175788,171748,167828,164086,160554,157244,154154,151278,148607,146131,143840,141724,139771,137974,15796500,15796500,15772500,15745200,15714200,15679700,15641900,15601300,15558600,15514600,15470100,15425900,15382600,15340400,15299700,15260400,15222800,15186900,15152700,15120300,15089700,0,0,0,0
202967.651547297,204255.176659452,202678.666624731,200110.407259052,198790.671354742,197394.813419418,195529.266072679,193569.997553449,192149.825492969,189346.063466704,185656.019228068,182271.663182973,178524.95992189,174746.421838276,170391.32237397,166315.085790601,163194.885493913,160462.204212736,157625.292205207,154555.839670662,151486.988402297,149109.083893423,16337359,15777792.9672324,14634464.5766649,13279131.2755033,17868756.3234185,14346605.402244,13209819.8255144,13087115.3157413,12875105.7764615,15877970.5755135,18632842.103203,16579257.7303222,20227047.6343904,23255250.5474059,26869639.9198239,11477065.7727271,22414622.2852565,13013248.1831019,10124359.7618258,18255237.8802782,11395990.3481823,212597,212597,209792,206671,203245,199545,195631,191585,187495,183447,179519,175769,172230,168915,165821,162943,160272,157797,155509,153396,151449,149657,16718400,16718400,16694400,16667200,16636300,16602000,16564500,16524200,16481900,16438500,16394700,16351300,16308800,16267600,16227900,16189800,16153300,16118600,16085700,16054500,16025100,0,0,0,0
